close,close_quote,high,high_quote,low,low_quote,open,open_quote,timestamp,volume,volume_quote
3.47482951,3.47482951,3.67953077,3.67953077,3.39655975,3.39655975,3.67722639,3.67722639,2021-12-02T00:00:00Z,10222701.8156419,10222701.81564190
3.67772803,3.67772803,4.23622734,4.23622734,3.51345818,3.51345818,3.53477715,3.53477715,2021-12-01T00:00:00Z,45816597.96323904,45816597.96323904
3.53350048,3.53350048,3.79331022,3.79331022,3.5138492,3.51384920,3.74935072,3.74935072,2021-11-30T00:00:00Z,12123349.33048492,12123349.33048492
3.74926542,3.74926542,3.80470529,3.80470529,3.57348801,3.57348801,3.64643866,3.64643866,2021-11-29T00:00:00Z,6105914.11295459,6105914.11295459
3.64394294,3.64394294,3.7103676,3.71036760,3.35211435,3.35211435,3.69738745,3.69738745,2021-11-28T00:00:00Z,9075536.56412834,9075536.56412834
3.70027257,3.70027257,3.79553131,3.79553131,3.63684025,3.63684025,3.66378731,3.66378731,2021-11-27T00:00:00Z,7739927.3707317,7739927.37073170
3.66461447,3.66461447,4.25392846,4.25392846,3.57181962,3.57181962,4.24614233,4.24614233,2021-11-26T00:00:00Z,18032137.55637433,18032137.55637433
4.24676069,4.24676069,4.29829487,4.29829487,3.945944,3.94594400,3.98589377,3.98589377,2021-11-25T00:00:00Z,11561585.22986376,11561585.22986376
3.98772597,3.98772597,4.14534104,4.14534104,3.87276021,3.87276021,4.02703473,4.02703473,2021-11-24T00:00:00Z,12508479.03526626,12508479.03526626
4.02529958,4.02529958,4.11100333,4.11100333,3.74049486,3.74049486,3.8183921,3.81839210,2021-11-23T00:00:00Z,11226496.30473518,11226496.30473518
3.81666657,3.81666657,4.00106123,4.00106123,3.7415999,3.74159990,3.98426785,3.98426785,2021-11-22T00:00:00Z,11690256.53277314,11690256.53277314
3.98451473,3.98451473,4.15009481,4.15009481,3.85037595,3.85037595,3.98020293,3.98020293,2021-11-21T00:00:00Z,11304525.80797698,11304525.80797698
3.97953249,3.97953249,4.02138434,4.02138434,3.79191464,3.79191464,3.88201085,3.88201085,2021-11-20T00:00:00Z,7885374.70189153,7885374.70189153
3.88200829,3.88200829,3.94425072,3.94425072,3.46808601,3.46808601,3.54065453,3.54065453,2021-11-19T00:00:00Z,10231572.60240601,10231572.60240601
3.54184875,3.54184875,3.99583752,3.99583752,3.46565197,3.46565197,3.91687075,3.91687075,2021-11-18T00:00:00Z,10300215.97691102,10300215.97691102
3.91582211,3.91582211,3.94671457,3.94671457,3.67955299,3.67955299,3.84059953,3.84059953,2021-11-17T00:00:00Z,9841767.43781803,9841767.43781803
3.83474687,3.83474687,4.17892791,4.17892791,3.52324549,3.52324549,4.17764858,4.17764858,2021-11-16T00:00:00Z,15632741.76407205,15632741.76407205
4.17821237,4.17821237,4.35571892,4.35571892,4.10212619,4.10212619,4.27698424,4.27698424,2021-11-15T00:00:00Z,5745495.78405627,5745495.78405627
4.27708227,4.27708227,4.32908582,4.32908582,4.13239736,4.13239736,4.26260053,4.26260053,2021-11-14T00:00:00Z,6669428.51964018,6669428.51964018
4.26232175,4.26232175,4.28858779,4.28858779,4.09559054,4.09559054,4.15705592,4.15705592,2021-11-13T00:00:00Z,5743908.36749756,5743908.36749756
4.15637813,4.15637813,4.26567396,4.26567396,3.96768761,3.96768761,4.26217512,4.26217512,2021-11-12T00:00:00Z,7577506.3056744,7577506.30567440
4.26781198,4.26781198,4.49466223,4.49466223,3.99301282,3.99301282,4.06009215,4.06009215,2021-11-11T00:00:00Z,15289111.91517541,15289111.91517541
4.06291785,4.06291785,4.74151013,4.74151013,3.70517588,3.70517588,4.42936873,4.42936873,2021-11-10T00:00:00Z,21306213.51255714,21306213.51255714
4.42589179,4.42589179,4.65854791,4.65854791,4.40121097,4.40121097,4.63227527,4.63227527,2021-11-09T00:00:00Z,9755543.26968922,9755543.26968922
4.63278954,4.63278954,4.63832167,4.63832167,4.41246932,4.41246932,4.56895116,4.56895116,2021-11-08T00:00:00Z,8787750.553764,8787750.55376400
4.56742031,4.56742031,4.62267064,4.62267064,4.363903,4.36390300,4.42130811,4.42130811,2021-11-07T00:00:00Z,7897337.93084641,7897337.93084641
4.41916218,4.41916218,4.46178515,4.46178515,4.1228211,4.12282110,4.39305736,4.39305736,2021-11-06T00:00:00Z,9764261.06918111,9764261.06918111
4.39499317,4.39499317,4.61863072,4.61863072,4.36822793,4.36822793,4.50937978,4.50937978,2021-11-05T00:00:00Z,8368235.06609423,8368235.06609423
4.51119123,4.51119123,4.61995013,4.61995013,4.32468622,4.32468622,4.43039244,4.43039244,2021-11-04T00:00:00Z,11070831.27704401,11070831.27704401
4.42588483,4.42588483,4.62868099,4.62868099,4.32203511,4.32203511,4.6256507,4.62565070,2021-11-03T00:00:00Z,8138381.05369303,8138381.05369303
4.62576862,4.62576862,4.76690371,4.76690371,4.39919734,4.39919734,4.5741346,4.57413460,2021-11-02T00:00:00Z,10248835.6610159,10248835.66101590
4.57417492,4.57417492,4.68363265,4.68363265,4.24170299,4.24170299,4.58217331,4.58217331,2021-11-01T00:00:00Z,11161443.03381798,11161443.03381798
4.58340832,4.58340832,4.7066401,4.70664010,4.31091743,4.31091743,4.69980694,4.69980694,2021-10-31T00:00:00Z,14332164.11074365,14332164.11074365
4.70272798,4.70272798,5.13308502,5.13308502,4.58134216,4.58134216,5.04969522,5.04969522,2021-10-30T00:00:00Z,10798064.62120769,10798064.62120769
5.05090781,5.05090781,5.58376723,5.58376723,4.92024389,4.92024389,5.13964157,5.13964157,2021-10-29T00:00:00Z,16784836.18331411,16784836.18331411
5.12756959,5.12756959,5.73425813,5.73425813,4.72984752,4.72984752,5.68333057,5.68333057,2021-10-28T00:00:00Z,35247882.22778694,35247882.22778694
3.9472193,3.94721930,4.19926816,4.19926816,3.86666759,3.86666759,4.05499918,4.05499918,2021-10-26T00:00:00Z,10600458.90536948,10600458.90536948
4.053025,4.05302500,4.16399481,4.16399481,3.76900286,3.76900286,3.80939944,3.80939944,2021-10-25T00:00:00Z,10781873.39957088,10781873.39957088
3.81013407,3.81013407,4.07193986,4.07193986,3.68563555,3.68563555,4.0229684,4.02296840,2021-10-24T00:00:00Z,10326833.26494978,10326833.26494978
4.02565155,4.02565155,4.0844463,4.08444630,3.80504045,3.80504045,4.02854671,4.02854671,2021-10-23T00:00:00Z,10407032.07900295,10407032.07900295
4.02652075,4.02652075,4.35153755,4.35153755,3.89853204,3.89853204,4.14313634,4.14313634,2021-10-22T00:00:00Z,14101201.93864167,14101201.93864167
4.14151302,4.14151302,4.54999692,4.54999692,4.05940455,4.05940455,4.17650276,4.17650276,2021-10-21T00:00:00Z,18510126.11199264,18510126.11199264
