Date,Open,High,Low,Close,Adj Close,Volume
2020-12-02,0.005325,0.005446,0.005257,0.005411,0.005411,4155560
2020-12-03,0.005411,0.005432,0.005294,0.005316,0.005316,3909482
2020-12-04,0.005316,0.005439,0.005035,0.005070,0.005070,4222789
2020-12-05,0.005078,0.005252,0.004910,0.005161,0.005161,3748583
2020-12-06,0.005161,0.005234,0.005068,0.005121,0.005121,2792868
2020-12-07,0.005116,0.005204,0.004899,0.005183,0.005183,4298858
2020-12-08,0.005179,0.005198,0.004714,0.004734,0.004734,3897367
2020-12-09,0.004733,0.005175,0.004641,0.005135,0.005135,4807615
2020-12-10,0.005139,0.005165,0.004804,0.004862,0.004862,3043749
2020-12-11,0.004854,0.004857,0.004545,0.004561,0.004561,3590392
2020-12-12,0.004561,0.005261,0.004554,0.005235,0.005235,5116271
2020-12-13,0.005241,0.005504,0.005089,0.005374,0.005374,5555946
2020-12-14,0.005380,0.005380,0.005038,0.005222,0.005222,4558617
2020-12-15,0.005218,0.005485,0.005068,0.005405,0.005405,5212700
2020-12-16,0.005405,0.005632,0.005223,0.005566,0.005566,7876955
2020-12-17,0.005565,0.005667,0.005081,0.005138,0.005138,8309447
2020-12-18,0.005138,0.005273,0.004989,0.005185,0.005185,6024411
2020-12-19,0.005185,0.005351,0.005150,0.005212,0.005212,5814245
2020-12-20,0.005206,0.005478,0.005109,0.005282,0.005282,6466556
2020-12-21,0.005276,0.005332,0.004761,0.005021,0.005021,5000178
2020-12-22,0.005020,0.005222,0.004881,0.005121,0.005121,4383196
2020-12-23,0.005120,0.005148,0.004135,0.004363,0.004363,5328791
2020-12-24,0.004362,0.004730,0.004316,0.004711,0.004711,3946547
2020-12-25,0.004708,0.004893,0.004576,0.004754,0.004754,3861855
2020-12-26,0.004751,0.004846,0.004558,0.004756,0.004756,3460663
2020-12-27,0.004761,0.005115,0.004677,0.004908,0.004908,4437831
2020-12-28,0.004908,0.005086,0.004782,0.004792,0.004792,3894244
2020-12-29,0.004792,0.004811,0.004242,0.004427,0.004427,3934826
2020-12-30,0.004423,0.004489,0.004090,0.004104,0.004104,3397294
2020-12-31,0.004110,0.004293,0.004021,0.004253,0.004253,3833344
2021-01-01,0.004251,0.004481,0.004138,0.004242,0.004242,6099059
2021-01-02,0.004242,0.004388,0.004135,0.004242,0.004242,6445636
2021-01-03,0.004236,0.004998,0.004208,0.004897,0.004897,10681546
2021-01-04,0.004899,0.005595,0.004525,0.004941,0.004941,10997926
2021-01-05,0.004945,0.005306,0.004930,0.005023,0.005023,7304256
2021-01-06,0.005023,0.005697,0.004906,0.005581,0.005581,9305365
2021-01-07,null,null,null,null,null,null
2021-01-08,null,null,null,null,null,null
2021-01-09,null,null,null,null,null,null
2021-01-10,null,null,null,null,null,null
2021-01-11,null,null,null,null,null,null
2021-01-12,null,null,null,null,null,null
2021-01-13,null,null,null,null,null,null
2021-01-14,null,null,null,null,null,null
2021-01-15,null,null,null,null,null,null
2021-01-16,null,null,null,null,null,null
2021-01-17,null,null,null,null,null,null
